Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Label
410,598,408,406,404,486,408,404,409,407
410,599,407,406,404,487,408,404,409,407
410,599,407,406,403,487,408,404,409,407
410,599,406,406,403,488,408,404,409,407
410,599,405,406,403,488,408,404,409,407
410,599,405,406,403,489,408,404,409,407
410,599,405,406,403,489,408,404,409,407
410,599,404,406,404,490,408,404,409,407
410,597,404,406,404,491,408,404,409,407
410,595,404,406,404,492,408,404,409,407
411,595,404,406,404,493,408,404,409,407
411,593,404,406,404,493,408,404,409,407
411,592,404,406,403,491,408,404,409,407
411,592,404,406,403,490,408,404,409,407
412,591,404,406,403,489,408,404,409,407
413,590,404,406,404,489,408,404,409,407
413,590,404,406,404,489,408,404,409,407
412,590,404,406,404,489,407,404,409,407
411,590,404,406,404,489,408,404,409,407
410,590,404,406,404,489,408,404,409,407
410,590,404,406,404,489,408,404,409,407
410,589,404,406,404,488,408,404,409,407
410,589,404,406,403,486,407,404,409,407
410,589,404,406,403,485,407,404,409,407
410,589,404,406,403,483,407,404,409,407
410,589,405,406,403,483,407,404,409,407
412,589,405,406,403,482,407,404,409,407
413,589,405,406,403,482,407,404,409,407
416,589,405,406,403,482,407,404,409,407
418,589,405,406,403,480,407,404,409,407
419,589,405,406,403,478,407,404,409,407
421,589,404,406,403,476,407,404,409,407
421,588,405,407,403,475,407,404,409,408
422,588,404,407,403,474,408,404,409,408
425,586,404,407,403,472,408,404,409,408
425,585,404,407,403,472,408,404,409,408
427,585,405,407,403,472,408,404,409,408
427,585,405,406,403,472,408,404,409,408
428,585,405,406,403,472,408,404,409,408
429,585,404,406,403,472,408,404,409,408
429,585,404,406,403,472,408,404,409,408
429,585,404,406,403,472,408,404,409,408
429,585,404,406,403,472,408,404,409,408
430,585,404,406,403,472,408,404,409,408
430,583,404,406,403,471,408,404,409,408
428,582,404,406,403,471,408,404,409,408
426,582,404,406,402,471,408,404,409,408
425,582,404,406,402,471,408,404,409,408
422,582,405,406,402,471,408,404,409,408
420,582,405,406,402,471,408,404,409,408
420,582,405,406,402,472,408,404,408,408
420,581,405,406,402,473,408,404,408,408
421,581,405,406,402,474,408,403,408,408
421,581,406,406,403,476,408,403,408,408
421,579,406,406,403,476,408,403,408,408
421,579,406,406,403,475,408,403,408,408
421,577,406,406,403,476,408,403,408,408
421,578,406,406,403,477,407,403,408,408
421,579,406,406,403,479,407,403,408,408
421,579,406,406,403,480,407,403,408,408
421,580,406,406,403,482,407,403,408,408
421,581,406,406,403,483,407,403,409,408
421,581,406,406,403,486,407,403,409,408
421,581,406,406,403,486,407,403,409,408
424,581,406,406,403,488,407,403,409,408
425,581,406,406,403,489,407,403,409,408
426,581,406,406,404,489,407,403,409,408
430,581,406,406,404,491,408,403,409,408
430,581,406,406,404,492,408,403,409,408
430,581,407,406,404,492,408,403,409,408
431,582,407,406,404,492,408,403,409,408
432,583,407,406,404,492,408,403,409,408
432,583,407,406,404,492,408,403,409,408
433,585,407,406,405,492,408,403,409,408
434,585,407,406,405,495,408,403,409,408
434,586,407,406,405,496,408,403,409,408
435,586,407,406,405,497,408,404,409,408
436,586,407,406,405,500,408,404,409,408
436,588,407,406,405,502,408,404,409,408
436,589,407,406,406,503,407,404,409,408
436,592,407,406,406,504,407,404,409,408
436,592,407,406,406,508,407,404,409,408
436,595,407,406,406,509,407,404,409,408
436,596,407,406,406,509,407,404,409,409
436,596,407,406,406,511,407,404,409,409
436,596,407,407,406,514,407,404,409,409
436,596,407,407,406,517,407,404,409,409
435,596,407,407,406,519,407,403,409,409
435,596,407,407,406,520,407,403,409,409
435,596,407,407,406,521,407,403,409,409
435,596,407,407,406,521,407,403,409,409
435,596,407,407,406,521,407,403,409,409
435,596,407,407,407,521,407,403,409,409
434,596,407,406,407,522,408,403,409,409
433,598,407,406,407,522,408,403,409,409
430,599,407,406,407,523,408,403,409,409
429,600,407,406,407,523,408,403,409,409
426,603,407,406,407,523,408,403,409,409
425,604,407,406,407,523,408,403,409,409
422,607,407,406,407,523,408,403,409,409
421,609,407,406,407,523,408,403,409,409
421,610,407,406,407,525,408,403,409,409
423,610,407,406,407,525,408,403,409,409
424,610,407,406,407,527,408,403,409,409
426,610,407,406,407,527,408,403,409,409
426,610,407,406,407,527,407,404,409,409
428,609,407,406,407,527,407,404,409,409
431,609,407,406,407,525,407,404,409,409
431,608,407,406,407,523,407,404,409,409
434,607,407,406,407,522,407,404,409,409
434,606,407,406,407,520,407,404,409,409
434,605,407,406,407,520,407,404,409,409
434,605,407,406,407,520,407,404,409,409
435,606,407,406,406,520,407,404,409,409
436,606,407,406,406,520,407,404,409,409
436,607,407,406,406,520,407,404,409,409
436,606,407,406,406,520,407,404,409,409
436,605,407,406,406,520,407,404,409,409
436,602,407,406,406,520,407,404,409,409
436,601,407,406,406,520,407,404,409,409
436,600,407,406,406,517,407,404,409,409
436,603,407,406,406,516,407,404,409,409
436,604,407,406,406,514,407,404,409,409
433,608,407,406,406,515,407,404,409,409
431,608,407,406,406,517,407,404,409,409
427,612,407,406,406,519,407,404,409,409
426,612,407,406,406,519,407,404,409,409
424,614,407,406,406,519,407,404,409,409
421,617,407,406,406,518,407,404,409,409
419,618,407,406,405,516,407,404,409,409
416,618,407,406,405,515,407,404,409,409
415,618,407,406,405,514,407,404,409,409
414,618,407,406,405,511,407,404,409,409
414,612,407,406,405,510,407,404,409,409
412,611,407,406,405,509,407,404,409,409
411,608,407,406,405,509,407,404,409,409
410,606,407,406,405,508,407,404,409,409
410,601,407,406,405,509,407,405,409,409
410,601,407,406,405,508,407,405,408,409
410,600,407,406,405,506,407,405,408,409
410,599,407,406,405,506,407,405,408,409
410,599,407,406,405,505,407,404,408,409
410,597,407,406,405,503,407,404,408,409
410,596,407,406,405,503,407,404,408,409
410,596,407,406,405,501,407,404,408,409
410,595,407,406,405,501,407,404,408,409
410,594,407,406,405,501,407,404,408,409
410,591,407,406,405,501,407,404,408,409
410,588,407,406,405,500,407,404,408,409
410,585,407,406,405,500,407,404,408,409
410,583,407,406,405,500,407,404,408,409
410,582,407,406,405,500,407,404,408,409
410,582,407,406,405,500,407,404,408,409
410,583,407,406,404,501,407,404,408,409
410,584,407,406,404,502,407,404,408,409
410,584,407,406,404,501,407,404,408,409
410,583,407,406,404,500,407,404,408,409
410,581,407,406,404,500,407,404,408,409
410,581,407,406,404,500,407,404,408,409
410,581,407,406,404,501,407,404,408,409
410,582,407,406,404,501,407,404,408,409
410,584,407,406,404,501,407,404,408,409
410,583,407,406,404,501,407,404,408,409
410,582,407,406,404,500,407,404,408,409
410,579,407,406,404,499,407,404,408,409
410,578,407,406,403,500,407,404,408,409
410,577,407,406,403,501,407,404,408,408
410,577,407,406,404,503,407,404,409,408
410,577,407,406,404,504,407,404,409,408
410,579,407,406,404,504,406,404,409,408
410,580,407,406,404,503,406,404,409,408
410,583,407,406,404,503,406,404,409,408
410,584,407,406,404,502,406,404,409,408
410,587,407,406,404,502,406,404,409,408
410,588,407,406,404,502,406,404,409,408
410,588,407,406,404,502,406,404,409,408
410,587,407,406,404,504,406,404,409,408
410,587,407,406,404,505,406,404,408,408
410,588,407,406,404,506,406,404,408,408
410,589,407,406,404,508,407,404,408,408
410,590,407,406,404,508,407,404,408,408
410,592,407,406,404,508,407,404,408,408
410,594,407,406,404,507,407,404,409,408
410,597,407,406,404,507,407,404,409,408
410,599,407,406,404,507,407,404,409,408
410,603,407,406,404,507,407,404,409,408
410,603,407,406,404,507,407,404,409,408
410,602,407,406,404,507,407,404,409,408
410,601,407,406,404,507,407,404,409,408
410,600,407,406,404,508,407,404,409,408
410,599,407,406,404,508,407,404,409,408
410,599,407,406,404,509,407,404,409,408
410,599,407,406,404,510,407,404,409,408
410,598,407,406,404,510,407,404,409,408
410,596,407,406,404,509,407,404,409,408
410,594,407,406,404,509,407,404,409,408
410,594,407,406,404,508,407,404,409,408
410,594,407,406,404,508,407,404,409,409
410,594,407,406,404,508,407,404,409,409
410,594,407,406,404,508,407,404,409,409
410,594,407,406,404,508,407,404,409,409
410,594,407,406,404,508,407,404,409,409
410,595,407,406,404,508,408,404,409,409
410,596,406,406,404,508,408,404,409,409
410,596,406,406,404,507,408,404,409,409
410,596,406,406,404,506,408,404,409,408
410,596,406,406,404,504,408,404,409,408
410,597,407,406,404,504,408,404,409,408
410,596,407,406,404,504,408,404,409,408
410,596,407,406,404,505,408,404,409,408
409,597,407,406,404,505,408,404,409,408
409,598,407,406,404,505,408,404,409,409
409,598,407,406,404,506,408,404,409,409
409,598,407,406,404,508,408,404,409,409
409,599,407,406,404,509,408,404,409,409
409,599,407,406,404,509,408,404,409,409
409,602,407,406,404,509,408,404,409,409
409,603,407,406,404,509,408,404,409,408
409,604,407,406,404,509,408,404,409,408
409,606,407,406,404,508,408,404,409,408
