Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Label
597,676,409,410,407,544,410,407,467,530
567,671,408,409,407,541,410,407,464,518
558,670,408,409,406,541,409,407,463,517
548,668,408,409,406,537,409,407,460,511
543,666,408,409,403,534,408,407,459,508
535,665,408,409,402,527,402,406,459,506
531,663,408,409,402,525,402,406,456,501
523,661,408,409,402,524,401,406,455,499
520,657,408,409,402,524,401,406,453,495
517,655,407,409,402,524,401,406,453,492
510,653,407,408,402,524,401,406,452,488
508,651,407,408,402,524,401,406,451,485
502,650,407,408,402,524,401,406,450,484
499,647,407,408,402,524,401,406,449,478
496,646,407,408,402,524,401,406,448,475
491,646,407,408,402,524,401,406,446,470
489,642,407,408,402,524,401,406,445,467
483,642,407,408,402,523,401,405,445,463
481,638,407,408,402,521,401,405,445,460
475,637,407,408,402,520,401,405,445,458
473,634,407,408,402,517,401,405,445,451
470,633,407,408,402,513,401,405,444,448
466,632,407,408,402,508,401,405,443,443
464,629,407,408,402,506,401,405,442,440
461,629,407,408,402,500,401,405,441,437
460,627,407,408,402,498,401,405,440,432
460,627,407,408,402,495,402,405,439,429
459,627,407,408,402,491,403,405,438,424
459,625,407,408,402,489,405,405,437,422
459,624,407,408,402,487,405,405,437,420
460,622,407,408,402,487,406,405,436,420
459,622,407,408,402,487,407,405,436,420
458,620,407,407,402,487,407,405,433,420
456,619,407,407,402,487,407,405,433,418
455,618,407,407,402,486,407,405,431,414
453,617,407,407,402,486,407,405,430,411
450,617,407,407,402,486,408,405,429,410
448,617,407,407,402,487,408,405,427,410
445,616,407,407,402,489,408,405,427,410
445,616,407,407,402,493,408,405,425,410
441,614,407,407,402,495,408,405,425,410
440,614,407,407,402,500,408,405,425,410
439,614,407,407,402,501,408,405,427,410
437,615,407,407,402,503,408,405,427,410
436,616,407,407,402,507,408,404,429,410
436,615,407,407,402,508,408,404,429,410
436,614,407,407,402,513,408,404,429,410
436,613,407,407,402,514,408,404,429,409
438,611,407,407,402,517,408,404,429,409
